,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12
0,2023-02-12 14:22:19.994931,"(0.75, 21.75, 28.07200050354004)","(-17.700000762939453, 52.20000076293945, 62.678001403808594)","(1.8000000715255737, 27.150001525878906, 54.45000076293945)","(-22.05000114440918, 21.75, 46.22200012207031)","(-20.400001525878906, 34.650001525878906, 42.10799789428711)","(10.5, 32.55000305175781, 71.14800262451172)","(21.75, 59.400001525878906, 46.22200012207031)","(31.500001907348633, 90.0, 57.354000091552734)","(2.5500001907348633, 55.95000076293945, 15.246000289916992)","(-10.950000762939453, 56.70000076293945, 7.74399995803833)","(23.100000381469727, 30.900001525878906, 43.801998138427734)","(-6.750000476837158, 28.500001907348633, 15.48799991607666)"
1,2023-02-12 14:22:19.996261,"(0.30000001192092896, 21.900001525878906, 27.58799934387207)","(-17.400001525878906, 52.95000076293945, 62.43600082397461)","(2.5500001907348633, 26.700000762939453, 53.965999603271484)","(-20.55000114440918, 22.05000114440918, 47.189998626708984)","(-20.100000381469727, 33.75, 40.172000885009766)","(8.850000381469727, 33.45000076293945, 71.14800262451172)","(20.850000381469727, 59.400001525878906, 45.49599838256836)","(34.95000076293945, 89.85000610351562, 59.04800033569336)","(1.6500000953674316, 57.45000076293945, 18.392000198364258)","(-9.450000762939453, 56.250003814697266, 8.227999687194824)","(22.950000762939453, 32.25, 42.59199905395508)","(-7.650000095367432, 28.05000114440918, 15.729999542236328)"
2,2023-02-12 14:22:20.039250,"(-0.6000000238418579, 21.30000114440918, 24.926000595092773)","(-16.5, 52.95000076293945, 60.257999420166016)","(3.450000047683716, 26.700000762939453, 55.17599868774414)","(-20.700000762939453, 22.200000762939453, 48.400001525878906)","(-21.150001525878906, 34.35000228881836, 41.86600112915039)","(9.450000762939453, 34.35000228881836, 72.5999984741211)","(20.850000381469727, 59.70000076293945, 45.49599838256836)","(33.150001525878906, 90.30000305175781, 58.321998596191406)","(2.4000000953674316, 58.95000076293945, 14.76200008392334)","(-11.550000190734863, 55.80000305175781, 7.986000061035156)","(22.200000762939453, 32.400001525878906, 43.801998138427734)","(-7.800000190734863, 28.200000762939453, 14.277999877929688)"
3,2023-02-12 14:22:20.084613,"(-0.30000001192092896, 20.400001525878906, 26.86199951171875)","(-16.950000762939453, 52.95000076293945, 61.709999084472656)","(4.650000095367432, 25.650001525878906, 53.7239990234375)","(-20.850000381469727, 23.55000114440918, 50.093997955322266)","(-22.5, 32.70000076293945, 41.13999938964844)","(11.40000057220459, 33.60000228881836, 72.5999984741211)","(20.700000762939453, 61.05000305175781, 46.70600128173828)","(31.650001525878906, 90.75, 59.77399826049805)","(3.0, 58.35000228881836, 13.067999839782715)","(-11.40000057220459, 56.250003814697266, 7.259999752044678)","(21.75, 32.85000228881836, 42.83399963378906)","(-7.950000286102295, 27.600000381469727, 16.214000701904297)"
4,2023-02-12 14:22:20.086072,"(0.6000000238418579, 20.55000114440918, 27.58799934387207)","(-17.700000762939453, 51.750003814697266, 61.95199966430664)","(3.750000238418579, 27.30000114440918, 55.65999984741211)","(-21.150001525878906, 23.55000114440918, 50.33599853515625)","(-19.350000381469727, 33.900001525878906, 44.2859992980957)","(10.350000381469727, 33.75, 72.35800170898438)","(21.150001525878906, 60.30000305175781, 45.25400161743164)","(32.25, 90.45000457763672, 59.290000915527344)","(1.5, 58.05000305175781, 15.003999710083008)","(-12.15000057220459, 57.000003814697266, 7.74399995803833)","(21.450000762939453, 32.70000076293945, 43.801998138427734)","(-7.500000476837158, 27.600000381469727, 14.277999877929688)"
5,2023-02-12 14:22:20.130731,"(0.15000000596046448, 20.700000762939453, 26.86199951171875)","(-16.950000762939453, 52.35000228881836, 59.77399826049805)","(3.750000238418579, 26.55000114440918, 56.14400100708008)","(-23.700000762939453, 23.700000762939453, 48.641998291015625)","(-20.850000381469727, 35.25, 42.83399963378906)","(10.950000762939453, 33.75, 72.11599731445312)","(22.200000762939453, 60.750003814697266, 46.22200012207031)","(32.55000305175781, 90.30000305175781, 60.98400115966797)","(1.8000000715255737, 57.60000228881836, 14.03600025177002)","(-9.600000381469727, 56.70000076293945, 7.74399995803833)","(22.950000762939453, 32.55000305175781, 42.10799789428711)","(-7.650000095367432, 28.500001907348633, 14.76200008392334)"
6,2023-02-12 14:22:20.132295,"(-0.30000001192092896, 22.200000762939453, 29.766000747680664)","(-16.05000114440918, 52.500003814697266, 61.95199966430664)","(4.5, 27.450000762939453, 55.17599868774414)","(-21.30000114440918, 23.700000762939453, 45.97999954223633)","(-22.950000762939453, 34.95000076293945, 40.89799880981445)","(10.200000762939453, 32.70000076293945, 72.5999984741211)","(20.100000381469727, 59.10000228881836, 45.49599838256836)","(32.400001525878906, 89.85000610351562, 59.77399826049805)","(0.6000000238418579, 58.650001525878906, 15.729999542236328)","(-11.550000190734863, 56.85000228881836, 7.74399995803833)","(22.350000381469727, 33.0, 44.52799987792969)","(-9.0, 26.850000381469727, 14.76200008392334)"
7,2023-02-12 14:22:20.174249,"(0.45000001788139343, 21.450000762939453, 26.86199951171875)","(-19.05000114440918, 54.60000228881836, 58.56399917602539)","(4.050000190734863, 26.100000381469727, 52.27199935913086)","(-20.55000114440918, 24.150001525878906, 47.43199920654297)","(-18.900001525878906, 33.75, 42.59199905395508)","(10.200000762939453, 33.150001525878906, 71.63199615478516)","(21.450000762939453, 60.150001525878906, 46.22200012207031)","(33.0, 90.0, 60.5)","(1.2000000476837158, 55.95000076293945, 16.940000534057617)","(-11.550000190734863, 57.30000305175781, 8.227999687194824)","(22.05000114440918, 32.85000228881836, 43.801998138427734)","(-8.40000057220459, 27.600000381469727, 16.940000534057617)"
8,2023-02-12 14:22:20.176061,"(-0.45000001788139343, 21.30000114440918, 28.07200050354004)","(-18.30000114440918, 52.20000076293945, 61.22599792480469)","(1.6500000953674316, 24.30000114440918, 49.85200119018555)","(-18.450000762939453, 23.100000381469727, 47.43199920654297)","(-22.5, 33.30000305175781, 40.41400146484375)","(12.0, 32.85000228881836, 70.18000030517578)","(20.55000114440918, 59.85000228881836, 46.4640007019043)","(32.10000228881836, 88.6500015258789, 62.43600082397461)","(0.15000000596046448, 59.400001525878906, 16.214000701904297)","(-12.15000057220459, 55.95000076293945, 7.501999855041504)","(21.450000762939453, 32.55000305175781, 44.77000045776367)","(-7.350000381469727, 28.500001907348633, 15.972000122070312)"
9,2023-02-12 14:22:20.264585,"(1.5, 20.400001525878906, 26.86199951171875)","(-19.5, 52.35000228881836, 60.5)","(5.850000381469727, 22.05000114440918, 51.0620002746582)","(-16.5, 21.75, 45.012001037597656)","(-19.80000114440918, 35.25, 40.89799880981445)","(12.450000762939453, 33.0, 68.72799682617188)","(20.55000114440918, 58.650001525878906, 45.012001037597656)","(31.80000114440918, 90.9000015258789, 59.77399826049805)","(2.1000001430511475, 60.45000076293945, 14.519999504089355)","(-11.700000762939453, 56.85000228881836, 7.986000061035156)","(22.350000381469727, 32.70000076293945, 44.77000045776367)","(-8.700000762939453, 28.80000114440918, 16.697999954223633)"
