,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12
0,2023-02-12 17:10:13.069780,"(-13.500000953674316, 23.100000381469727, 2.4200000762939453)","(19.05000114440918, 70.05000305175781, 74.77799987792969)","(39.900001525878906, 40.20000076293945, 56.869998931884766)","(26.100000381469727, 44.25, 57.354000091552734)","(20.850000381469727, 58.80000305175781, 50.577999114990234)","(30.30000114440918, 39.30000305175781, 49.125999450683594)","(28.05000114440918, 66.60000610351562, 44.77000045776367)","(38.25, 98.10000610351562, 68.00199890136719)","(34.5, 83.25, 65.58200073242188)","(-23.850000381469727, 49.35000228881836, -4.840000152587891)","(33.900001525878906, 39.45000076293945, 51.0620002746582)","(3.3000001907348633, 34.95000076293945, 27.34600067138672)"
1,2023-02-12 17:10:13.071510,"(-13.800000190734863, 24.0, 2.6619999408721924)","(22.200000762939453, 65.25, 75.50399780273438)","(40.5, 42.900001525878906, 58.07999801635742)","(25.05000114440918, 43.80000305175781, 52.99800109863281)","(21.75, 58.35000228881836, 44.52799987792969)","(32.55000305175781, 37.5, 55.902000427246094)","(26.850000381469727, 65.55000305175781, 48.641998291015625)","(38.25, 98.10000610351562, 66.55000305175781)","(33.60000228881836, 82.05000305175781, 66.79199981689453)","(-24.30000114440918, 48.750003814697266, -4.840000152587891)","(34.20000076293945, 36.30000305175781, 53.481998443603516)","(3.6000001430511475, 36.150001525878906, 27.829999923706055)"
2,2023-02-12 17:10:13.073104,"(-12.90000057220459, 23.700000762939453, 5.565999984741211)","(19.950000762939453, 69.0, 74.77799987792969)","(39.75, 40.95000076293945, 55.17599868774414)","(22.950000762939453, 45.900001525878906, 54.20800018310547)","(21.0, 58.80000305175781, 47.67399978637695)","(32.400001525878906, 42.45000076293945, 46.70600128173828)","(27.450000762939453, 65.4000015258789, 51.54600143432617)","(37.35000228881836, 96.9000015258789, 68.00199890136719)","(34.35000228881836, 81.45000457763672, 63.645999908447266)","(-23.400001525878906, 48.0, -6.291999816894531)","(29.700000762939453, 38.70000076293945, 53.7239990234375)","(3.750000238418579, 35.10000228881836, 26.378000259399414)"
3,2023-02-12 17:10:13.114968,"(-14.40000057220459, 22.350000381469727, 3.629999876022339)","(18.600000381469727, 67.80000305175781, 76.71399688720703)","(38.25, 39.150001525878906, 61.709999084472656)","(26.100000381469727, 45.60000228881836, 56.14400100708008)","(21.150001525878906, 55.20000076293945, 48.15800094604492)","(33.45000076293945, 40.5, 52.99800109863281)","(23.400001525878906, 64.6500015258789, 53.23999786376953)","(37.95000076293945, 97.6500015258789, 70.4219970703125)","(34.05000305175781, 82.6500015258789, 65.8239974975586)","(-22.950000762939453, 48.30000305175781, -4.840000152587891)","(34.35000228881836, 39.75, 52.27199935913086)","(4.800000190734863, 35.85000228881836, 28.07200050354004)"
4,2023-02-12 17:10:13.116479,"(-14.40000057220459, 24.30000114440918, 3.629999876022339)","(18.150001525878906, 67.35000610351562, 76.2300033569336)","(41.400001525878906, 43.05000305175781, 56.869998931884766)","(25.650001525878906, 42.150001525878906, 52.27199935913086)","(19.80000114440918, 56.70000076293945, 42.349998474121094)","(36.0, 40.80000305175781, 56.14400100708008)","(25.350000381469727, 64.80000305175781, 53.7239990234375)","(37.20000076293945, 98.4000015258789, 65.8239974975586)","(33.75, 79.80000305175781, 64.85600280761719)","(-22.950000762939453, 49.80000305175781, -5.081999778747559)","(35.400001525878906, 38.55000305175781, 51.54600143432617)","(5.100000381469727, 36.60000228881836, 28.07200050354004)"
5,2023-02-12 17:10:13.159723,"(-13.800000190734863, 24.30000114440918, 2.6619999408721924)","(20.25, 67.35000610351562, 77.92399597167969)","(39.0, 39.900001525878906, 59.04800033569336)","(24.600000381469727, 47.10000228881836, 56.869998931884766)","(21.0, 59.70000076293945, 48.88399887084961)","(30.450000762939453, 36.60000228881836, 49.36800003051758)","(26.850000381469727, 66.9000015258789, 49.61000061035156)","(35.85000228881836, 96.75000762939453, 68.24400329589844)","(33.900001525878906, 82.05000305175781, 65.33999633789062)","(-24.30000114440918, 49.95000076293945, -4.355999946594238)","(34.05000305175781, 37.80000305175781, 51.78799819946289)","(5.550000190734863, 36.60000228881836, 25.893999099731445)"
6,2023-02-12 17:10:13.204659,"(-15.15000057220459, 23.100000381469727, 2.177999973297119)","(18.75, 66.30000305175781, 73.32599639892578)","(38.25, 39.75, 57.11199951171875)","(22.350000381469727, 41.85000228881836, 51.54600143432617)","(22.80000114440918, 57.000003814697266, 46.22200012207031)","(33.75, 42.0, 53.23999786376953)","(27.30000114440918, 66.0, 50.81999969482422)","(36.900001525878906, 97.35000610351562, 67.03399658203125)","(34.80000305175781, 82.20000457763672, 64.37200164794922)","(-23.55000114440918, 51.000003814697266, -3.629999876022339)","(33.150001525878906, 40.35000228881836, 53.965999603271484)","(4.5, 34.05000305175781, 27.829999923706055)"
7,2023-02-12 17:10:13.206213,"(-13.65000057220459, 24.30000114440918, 2.9040000438690186)","(19.200000762939453, 67.35000610351562, 73.80999755859375)","(40.35000228881836, 43.35000228881836, 58.321998596191406)","(22.650001525878906, 41.10000228881836, 50.81999969482422)","(19.80000114440918, 57.30000305175781, 47.43199920654297)","(33.75, 40.95000076293945, 56.38600158691406)","(28.350000381469727, 63.150001525878906, 55.65999984741211)","(36.75, 97.05000305175781, 66.30799865722656)","(34.05000305175781, 81.75, 63.645999908447266)","(-24.0, 47.25, -3.388000011444092)","(34.05000305175781, 39.0, 50.81999969482422)","(5.25, 36.45000076293945, 24.200000762939453)"
8,2023-02-12 17:10:13.208081,"(-12.600000381469727, 23.850000381469727, 3.629999876022339)","(18.0, 68.25, 74.29399871826172)","(41.400001525878906, 42.75, 55.902000427246094)","(22.05000114440918, 43.80000305175781, 55.65999984741211)","(24.900001525878906, 55.95000076293945, 50.093997955322266)","(32.55000305175781, 37.5, 56.14400100708008)","(26.100000381469727, 69.9000015258789, 55.902000427246094)","(37.5, 97.80000305175781, 68.24400329589844)","(34.5, 82.20000457763672, 66.30799865722656)","(-22.350000381469727, 48.30000305175781, -3.629999876022339)","(34.5, 38.85000228881836, 51.54600143432617)","(6.450000286102295, 37.35000228881836, 26.378000259399414)"
9,2023-02-12 17:10:13.249282,"(-12.450000762939453, 24.900001525878906, 2.4200000762939453)","(19.5, 68.70000457763672, 71.8740005493164)","(42.45000076293945, 41.400001525878906, 59.53200149536133)","(25.200000762939453, 42.150001525878906, 56.38600158691406)","(22.80000114440918, 61.20000076293945, 47.67399978637695)","(32.55000305175781, 40.650001525878906, 51.78799819946289)","(26.55000114440918, 63.60000228881836, 49.125999450683594)","(37.20000076293945, 98.4000015258789, 67.76000213623047)","(34.20000076293945, 81.30000305175781, 68.72799682617188)","(-25.200000762939453, 49.650001525878906, -2.6619999408721924)","(33.45000076293945, 38.70000076293945, 51.54600143432617)","(4.950000286102295, 35.85000228881836, 26.86199951171875)"
10,2023-02-12 17:10:13.250825,"(-12.300000190734863, 25.350000381469727, 3.388000011444092)","(21.450000762939453, 64.80000305175781, 71.63199615478516)","(41.400001525878906, 42.150001525878906, 58.07999801635742)","(22.950000762939453, 44.70000076293945, 56.38600158691406)","(21.30000114440918, 58.35000228881836, 49.36800003051758)","(32.70000076293945, 42.150001525878906, 52.99800109863281)","(25.950000762939453, 65.25, 49.85200119018555)","(37.95000076293945, 99.9000015258789, 71.14800262451172)","(33.30000305175781, 82.20000457763672, 67.2760009765625)","(-23.400001525878906, 48.900001525878906, -2.9040000438690186)","(33.30000305175781, 39.45000076293945, 52.75600051879883)","(5.550000190734863, 36.45000076293945, 27.104000091552734)"
11,2023-02-12 17:10:13.252536,"(-13.050000190734863, 25.500001907348633, 2.9040000438690186)","(18.450000762939453, 68.70000457763672, 71.63199615478516)","(40.95000076293945, 44.10000228881836, 62.43600082397461)","(25.650001525878906, 43.95000076293945, 54.45000076293945)","(17.55000114440918, 55.500003814697266, 48.400001525878906)","(34.35000228881836, 39.900001525878906, 54.45000076293945)","(28.05000114440918, 63.30000305175781, 47.189998626708984)","(38.70000076293945, 96.0, 68.72799682617188)","(33.30000305175781, 81.9000015258789, 66.55000305175781)","(-22.5, 48.60000228881836, -4.113999843597412)","(34.20000076293945, 37.80000305175781, 54.45000076293945)","(5.700000286102295, 36.30000305175781, 24.68400001525879)"
12,2023-02-12 17:10:13.294697,"(-13.950000762939453, 25.950000762939453, 3.629999876022339)","(21.75, 70.80000305175781, 78.40799713134766)","(40.5, 46.35000228881836, 60.98400115966797)","(21.900001525878906, 43.35000228881836, 50.81999969482422)","(22.5, 60.000003814697266, 47.67399978637695)","(33.900001525878906, 40.650001525878906, 51.30400085449219)","(26.55000114440918, 66.1500015258789, 53.23999786376953)","(37.95000076293945, 98.4000015258789, 69.4540023803711)","(34.35000228881836, 82.35000610351562, 65.8239974975586)","(-24.150001525878906, 48.30000305175781, -2.6619999408721924)","(35.70000076293945, 41.10000228881836, 48.15800094604492)","(6.150000095367432, 35.85000228881836, 26.378000259399414)"
13,2023-02-12 17:10:13.296611,"(-13.350000381469727, 23.850000381469727, 3.629999876022339)","(17.400001525878906, 69.1500015258789, 75.0199966430664)","(43.20000076293945, 45.0, 58.07999801635742)","(24.750001907348633, 42.60000228881836, 56.38600158691406)","(21.75, 58.95000076293945, 49.85200119018555)","(31.200000762939453, 39.0, 54.20800018310547)","(30.900001525878906, 68.4000015258789, 52.513999938964844)","(39.60000228881836, 97.6500015258789, 66.79199981689453)","(34.650001525878906, 81.1500015258789, 67.2760009765625)","(-23.25, 50.70000076293945, -2.6619999408721924)","(33.45000076293945, 37.80000305175781, 50.577999114990234)","(5.550000190734863, 37.80000305175781, 27.58799934387207)"
14,2023-02-12 17:10:13.339677,"(-11.40000057220459, 22.200000762939453, 1.694000005722046)","(22.950000762939453, 68.85000610351562, 76.2300033569336)","(42.60000228881836, 43.05000305175781, 59.04800033569336)","(22.200000762939453, 40.80000305175781, 56.14400100708008)","(22.05000114440918, 58.95000076293945, 46.70600128173828)","(32.25, 41.85000228881836, 58.321998596191406)","(28.350000381469727, 66.0, 47.91600036621094)","(38.400001525878906, 98.70000457763672, 69.21199798583984)","(34.5, 81.0, 67.51799774169922)","(-23.100000381469727, 51.000003814697266, -1.2100000381469727)","(36.0, 39.900001525878906, 50.093997955322266)","(6.0, 36.75, 28.79800033569336)"
