,Time Stamp,x,y,z,theta,phy
0,2025-07-02 16:08:11.695499,-0.46965018126974517,-7.4720469096791895,3.347549881786723,0.0,6.044244213803614
1,2025-07-02 16:08:11.698202,2.7653459517288157,-3.9031731735151274,3.3809044706337845,0.14502354191391986,2.184426460807653
2,2025-07-02 16:08:11.699923,2.5339996692972067,-5.217281168811651,3.428735367718959,0.11757775705968758,2.5701872822380594
3,2025-07-02 16:08:11.701723,-2.6231548683482138,-7.323708538004826,3.2127038940395183,0.1033006077407146,3.141892977647318
4,2025-07-02 16:08:11.703227,-1.3227529588337057,-5.427747504912015,3.3289529121627517,0.056082773981704685,2.895377220337398
5,2025-07-02 16:08:11.705015,1.2374008048692084,-9.63413087776008,3.3230684334838148,0.1345799892951908,3.050872813592491
6,2025-07-02 16:08:11.711793,-0.16268842745380852,-8.279693377452537,3.2987279302644184,0.0,5.42751224862522
7,2025-07-02 16:08:11.713801,-1.3859431448155766,-6.446347001729999,3.2102570227400062,0.055200375090204305,3.324596057935466
8,2025-07-02 16:08:11.722136,1.890666013219472,-7.3779324939084345,3.34474363750873,0.0,5.034651480901289
9,2025-07-02 16:08:11.728537,0.8246595446307535,-6.362940797594301,3.301404857165778,0.0,5.034651480901289
10,2025-07-02 16:08:11.737498,0.7496783916068422,-8.441467877645517,3.160813272880778,0.0,5.034651480901289
11,2025-07-02 16:08:11.746232,1.7629458143915822,-5.3888221363868345,3.3263468505997325,0.0,5.034651480901289
12,2025-07-02 16:08:11.750561,-2.3799061695635024,-5.4382076067609875,3.203421228531331,0.0,5.034651480901289
